Gads,Pasv_nos,Pasv_ATVK,Ter_ied_vien_nos,Ter_ied_vien_ATVK,Vecuma_grupa,Mir_vir_skaits,Mir_siev_skaits
2023,DAUGAVPILS,002000,,,0-6,0,0
2023,DAUGAVPILS,002000,,,15-18,3,0
2023,DAUGAVPILS,002000,,,19-24,0,0
2023,DAUGAVPILS,002000,,,25-49,67,27
2023,DAUGAVPILS,002000,,,50-61,128,38
2023,DAUGAVPILS,002000,,,62-74,210,144
2023,DAUGAVPILS,002000,,,7-14,0,0
2023,DAUGAVPILS,002000,,,75 un vec.,216,493
2023,JELGAVA,003000,,,0-6,1,0
2023,JELGAVA,003000,,,15-18,0,0
2023,JELGAVA,003000,,,19-24,2,0
2023,JELGAVA,003000,,,25-49,32,9
2023,JELGAVA,003000,,,50-61,59,21
2023,JELGAVA,003000,,,62-74,98,70
2023,JELGAVA,003000,,,7-14,0,0
2023,JELGAVA,003000,,,75 un vec.,133,270
2023,JŪRMALA,004000,,,0-6,2,1
2023,JŪRMALA,004000,,,15-18,1,0
2023,JŪRMALA,004000,,,19-24,0,1
2023,JŪRMALA,004000,,,25-49,30,11
2023,JŪRMALA,004000,,,50-61,63,32
2023,JŪRMALA,004000,,,62-74,121,65
2023,JŪRMALA,004000,,,7-14,0,0
2023,JŪRMALA,004000,,,75 un vec.,137,284
2023,LIEPĀJA,005000,,,0-6,0,1
2023,LIEPĀJA,005000,,,15-18,1,0
2023,LIEPĀJA,005000,,,19-24,1,0
2023,LIEPĀJA,005000,,,25-49,41,10
2023,LIEPĀJA,005000,,,50-61,69,33
2023,LIEPĀJA,005000,,,62-74,160,96
2023,LIEPĀJA,005000,,,7-14,0,0
2023,LIEPĀJA,005000,,,75 un vec.,177,379
2023,RĒZEKNE,006000,,,0-6,0,1
2023,RĒZEKNE,006000,,,15-18,0,1
2023,RĒZEKNE,006000,,,19-24,0,1
2023,RĒZEKNE,006000,,,25-49,26,6
2023,RĒZEKNE,006000,,,50-61,39,11
2023,RĒZEKNE,006000,,,62-74,82,48
2023,RĒZEKNE,006000,,,7-14,0,0
2023,RĒZEKNE,006000,,,75 un vec.,63,145
2023,RĪGA,001000,,,0-6,6,5
2023,RĪGA,001000,,,15-18,3,7
2023,RĪGA,001000,,,19-24,18,4
2023,RĪGA,001000,,,25-49,458,150
2023,RĪGA,001000,,,50-61,596,280
2023,RĪGA,001000,,,62-74,1147,859
2023,RĪGA,001000,,,7-14,2,1
2023,RĪGA,001000,,,75 un vec.,1691,3460
2023,VENTSPILS,007000,,,0-6,0,0
2023,VENTSPILS,007000,,,15-18,0,0
2023,VENTSPILS,007000,,,19-24,1,0
2023,VENTSPILS,007000,,,25-49,21,10
2023,VENTSPILS,007000,,,50-61,33,15
2023,VENTSPILS,007000,,,62-74,73,54
2023,VENTSPILS,007000,,,7-14,1,0
2023,VENTSPILS,007000,,,75 un vec.,109,188
2023,AIZKRAUKLES NOVADS,020000,AIVIEKSTES PAGASTS,020400,0-6,0,0
2023,AIZKRAUKLES NOVADS,020000,AIVIEKSTES PAGASTS,020400,15-18,0,0
2023,AIZKRAUKLES NOVADS,020000,AIVIEKSTES PAGASTS,020400,19-24,0,0
2023,AIZKRAUKLES NOVADS,020000,AIVIEKSTES PAGASTS,020400,25-49,2,0
2023,AIZKRAUKLES NOVADS,020000,AIVIEKSTES PAGASTS,020400,50-61,1,0
